pathway,pvalue,dist
M567,1,Inf
M514,0.001,0.207559861
M554,0.001,0.082646478
M553,0.001,0.015312383
M41731,0.001,0.2705445
M13881,0.001,0.028517764
M27200,0.001,0.029440267
M27045,0.001,0.125267509
M1021,0.001,0.029570786
M26980,0.001,0.384582084
M5988,0.001,0.007804677
M27225,0.126,0.272064281
M547,0.001,0.064629333
M27403,0.014,0.208228118
M27404,0.017,0.088533145
M27323,0.003,0.024054292
M27168,0.001,0.043306005
M1041,0.001,0.005124358
M29815,0.001,0.278799948
M29823,0.002,0.174177967
M27237,0.003,0.047426191
M27531,0.001,0.034961125
M27736,0.001,0.278799948
M608,0.001,0.005158445
M27670,0.098,0.097944866
M27141,0.001,0.384582084
M27136,0.009,0.175509258
M17842,0.071,0.149568293
M1429,0.001,0.060233106
M27871,0.001,0.003664296
M5967,0.001,0.065774643
M27295,0.001,0.017626851
M1926,0.001,0.076206219
M27074,0.002,0.148604097
M27214,0.71,0.000995543
M29616,0.001,0.026888877
M616,0.001,0.031439106
M1090,0.001,0.030434886
M27373,0.001,0.392467506
M27718,0.001,0.387226297
M27052,0.001,0.17120471
M14857,0.022,0.022038704
M27137,0.001,0.176416822
M10189,0.001,0.001800216
M27138,0.001,0.280495497
M684,0.001,0.099635037
M656,0.001,0.268892628
M26961,0.001,0.276925202
M27217,0.001,0.030377259
M655,0.001,0.143137264
M26963,0.001,0.386822806
M27149,0.001,0.172865132
M27051,0.001,0.210216152
M645,0.001,0.097929791
M639,0.013,0.043134069
M27053,0.001,0.08881498
M653,0.001,0.075415103
M27375,0.001,0.272623927
M1016,0.001,0.146031872
M813,0.001,0.17611459
M27647,1,Inf
M932,0.001,0.11260069
M892,0.001,0.020115786
M556,0.005,0.268423853
M852,0.001,0.063866356
M526,0.001,0.171778411
M27748,0.002,0.009779873
M27023,0.002,0.143157409
M27643,0.001,0.014579658
M27766,0.002,0.125036754
M27174,0.003,0.213232024
M1063,0.002,0.060896927
M27183,0.003,0.148287565
M27762,0.001,0.043042625
M646,0.001,0.027642502
M27884,0.001,0.379501561
M508,0.001,0.012796423
M27020,0.001,0.380344785
M11362,0.001,0.033876578
M17967,0.001,0.170742
